order,AIC,AICc,BIC,converged
"(0, 0, 1)",36.502277078829394,38.102277078829395,39.00191711099804,True
"(0, 0, 2)",36.2976861944332,39.15482905157605,39.38804108339232,True
"(0, 0, 3)",36.10128790000606,40.71667251539067,39.64153890551711,True
"(1, 0, 0)",44.95183053663818,46.55183053663818,47.62294581032667,True
"(1, 0, 1)",42.7326455195254,45.58978837666825,46.06549889575027,True
"(1, 0, 2)",38.155678573565964,42.77106318895058,42.01862218476487,True
"(1, 0, 3)",38.63487753355797,45.63487753355797,42.88317874017123,True
"(2, 0, 0)",40.60556155392941,43.46270441107227,43.93841493015428,True
"(2, 0, 1)",36.50863508302428,41.124019698408894,40.67470180330536,True
"(2, 0, 2)",38.03505728070644,45.03505728070644,42.67058961414513,True
"(2, 0, 3)",36.45068260173689,46.63250078355507,41.40703400945236,True
"(3, 0, 0)",39.148542131814835,43.76392674719945,43.011485743013736,True
"(3, 0, 1)",37.54067237574537,44.54067237574537,42.17620470918406,True
"(3, 0, 2)",38.114770897938264,48.296589079756444,43.522891953616735,True
"(3, 0, 3)",39.33983958570852,53.739839585708516,45.0042411945262,True
"(0, 1, 0)",56.07099555406998,56.82099555406998,57.73742224218241,True
"(0, 1, 1)",43.43957464427231,45.039574644272314,45.75734081099166,True
"(0, 1, 2)",40.7423924506592,43.59953530780206,43.574593255068045,True
"(0, 1, 3)",38.50420926154594,43.11959387693055,41.69949590962223,True
"(1, 1, 0)",53.88841315576748,55.48841315576748,56.38805318793613,True
"(1, 1, 1)",45.29833663893427,48.15547949607713,48.3886915278934,True
"(1, 1, 2)",42.46404537037409,47.0794299857587,46.00429637588514,True
"(1, 1, 3)",40.429481316676586,47.429481316676586,44.26382529436814,True
"(2, 1, 0)",50.19569299468597,53.052835851828824,53.2860478836451,True
"(2, 1, 1)",44.271500110322386,48.886884725707,48.13444372152129,True
"(2, 1, 2)",41.560580326157734,48.560580326157734,45.80888153277099,True
"(2, 1, 3)",41.324419380601405,51.506237562419585,45.797820687908214,True
"(3, 1, 0)",45.58381486385634,50.19919947924095,49.12406586936739,True
"(3, 1, 1)",42.88000424349115,49.88000424349115,47.128305450104406,True
"(3, 1, 2)",43.593012376203745,53.774830558021925,48.54936378391922,True
