model,term,coefficient,std_error,p_value,ci95_low,ci95_high,AIC,AICc,BIC,n
"ARIMA(1,0,0)",intercept,3.3038803990051453,0.96313657303608,0.0006028380918409112,1.4161674036610972,5.191593394349193,44.95183053663818,46.55183053663818,47.62294581032667,19
"ARIMA(1,0,0)",ar.L1,-0.09914802042376038,0.2863095994567379,0.7291198771219938,-0.6603045237870553,0.46200848293953456,44.95183053663818,46.55183053663818,47.62294581032667,19
"ARIMA(1,0,0)",sigma2,0.5097236914190967,0.20155820216328652,0.01144155215139477,0.11467687439041191,0.9047705084477815,44.95183053663818,46.55183053663818,47.62294581032667,19
ARIMAX calor+prevención t-1,intercept,1.60581029806963,0.8384361280687957,0.05546131231903645,-0.03749431628242195,3.249114912421682,34.60744981533517,37.68437289225825,37.940303191560034,18
ARIMAX calor+prevención t-1,x1,0.048888983151769615,0.02613547122646893,0.061400700251335545,-0.002335599171092363,0.1001135654746316,34.60744981533517,37.68437289225825,37.940303191560034,18
ARIMAX calor+prevención t-1,x2,0.09336620851671082,0.06879594584185328,0.17473452094351993,-0.0414713676156897,0.22820378464911134,34.60744981533517,37.68437289225825,37.940303191560034,18
ARIMAX calor+prevención t-1,sigma2,0.28005669594701776,0.15695427064507114,0.07437162864235095,-0.0275680217370739,0.5876814136311095,34.60744981533517,37.68437289225825,37.940303191560034,18
ARIMAX calor+prevención t-2,intercept,1.2528856705251847,0.5196608733500253,0.015910249856015062,0.23436907458450484,2.2714022664658646,30.643202356803904,33.97653569013724,33.73355724576303,17
ARIMAX calor+prevención t-2,x1,0.05149991897664271,0.015931606761094667,0.0012268517675406885,0.020274543509042342,0.08272529444424308,30.643202356803904,33.97653569013724,33.73355724576303,17
ARIMAX calor+prevención t-2,x2,0.1314378885748089,0.05093694557055472,0.009868484352967541,0.031603309774044616,0.23127246737557317,30.643202356803904,33.97653569013724,33.73355724576303,17
ARIMAX calor+prevención t-2,sigma2,0.24105182557334967,0.11826070289413647,0.0415190652994655,0.009265107114450444,0.4728385440322489,30.643202356803904,33.97653569013724,33.73355724576303,17
ARIMAX calor+prevención t-3,intercept,1.951199099542666,0.4320041721315076,6.283423050954753e-06,1.104486480993869,2.7979117180914628,32.522823780016076,36.15918741637971,35.35502458442492,16
ARIMAX calor+prevención t-3,x1,0.037683563195774504,0.015176135237145033,0.013025170389402369,0.007938884706461008,0.067428241685088,32.522823780016076,36.15918741637971,35.35502458442492,16
ARIMAX calor+prevención t-3,x2,0.06703350260304997,0.06913367151595673,0.33223513203185884,-0.06846600368724781,0.20253300889334774,32.522823780016076,36.15918741637971,35.35502458442492,16
ARIMAX calor+prevención t-3,sigma2,0.3002798974721464,0.11462856740382242,0.008803542978643834,0.07561203376123243,0.5249477611830604,32.522823780016076,36.15918741637971,35.35502458442492,16
ARIMAX episodios+inversión t-2,intercept,0.022439446715994602,1.0295342710700799,0.9826109036633237,-1.9954106454310592,2.0402895388630484,27.25702695961224,30.590360292945572,30.347381848571366,17
ARIMAX episodios+inversión t-2,x1,0.39619204326798585,0.10224942603248391,0.00010672959015950063,0.19578685080442515,0.5965972357315465,27.25702695961224,30.590360292945572,30.347381848571366,17
ARIMAX episodios+inversión t-2,x2,0.06183170711062542,0.02854755266004164,0.030317322521590195,0.005879532050183184,0.11778388217106765,27.25702695961224,30.590360292945572,30.347381848571366,17
ARIMAX episodios+inversión t-2,sigma2,0.194344159611333,0.08289113031793163,0.019048971409631677,0.03188052955037085,0.35680778967229515,27.25702695961224,30.590360292945572,30.347381848571366,17
