model,year,predicted,phase,pi90_low,pi90_high
"ARIMA(1,0,0)",2006,17.50450323558218,fit,,
"ARIMA(1,0,0)",2007,17.166888668996105,fit,,
"ARIMA(1,0,0)",2008,19.55230098000031,fit,,
"ARIMA(1,0,0)",2009,21.442293017257814,fit,,
"ARIMA(1,0,0)",2010,18.078872864854983,fit,,
"ARIMA(1,0,0)",2011,20.2744500330701,fit,,
"ARIMA(1,0,0)",2012,18.781264116599647,fit,,
"ARIMA(1,0,0)",2013,17.745708629291308,fit,,
"ARIMA(1,0,0)",2014,19.436157550977477,fit,,
"ARIMA(1,0,0)",2015,21.147129326077643,fit,,
"ARIMA(1,0,0)",2016,19.55230098000031,fit,,
"ARIMA(1,0,0)",2017,18.945476074646844,fit,,
"ARIMA(1,0,0)",2018,17.229111867647365,fit,,
"ARIMA(1,0,0)",2019,22.722691975338375,fit,,
"ARIMA(1,0,0)",2020,19.676209002583573,fit,,
"ARIMA(1,0,0)",2021,19.223786767322316,fit,,
"ARIMA(1,0,0)",2022,19.326899409760124,fit,,
"ARIMA(1,0,0)",2023,17.229111867647365,fit,,
"ARIMA(1,0,0)",2024,19.223786767322316,forecast,5.249598845139757,64.44444873100886
"ARIMA(1,0,0)",2025,19.361342046071368,forecast,5.480773521128673,62.97141461053724
ARIMAX calor + prevención t-1,2006,9.15730038607074,fit,,
ARIMAX calor + prevención t-1,2007,9.457622885165184,fit,,
ARIMAX calor + prevención t-1,2008,16.260823990258523,fit,,
ARIMAX calor + prevención t-1,2009,21.076495968041744,fit,,
ARIMAX calor + prevención t-1,2010,11.933787909606677,fit,,
ARIMAX calor + prevención t-1,2011,16.20015634026035,fit,,
ARIMAX calor + prevención t-1,2012,21.38981578174667,fit,,
ARIMAX calor + prevención t-1,2013,13.449832009158884,fit,,
ARIMAX calor + prevención t-1,2014,7.478589417804898,fit,,
ARIMAX calor + prevención t-1,2015,30.469221984283664,fit,,
ARIMAX calor + prevención t-1,2016,13.976999222290887,fit,,
ARIMAX calor + prevención t-1,2017,25.90799696080381,fit,,
ARIMAX calor + prevención t-1,2018,12.494981236219383,fit,,
ARIMAX calor + prevención t-1,2019,20.819060117696328,fit,,
ARIMAX calor + prevención t-1,2020,21.958470206717795,fit,,
ARIMAX calor + prevención t-1,2021,14.40083355998972,fit,,
ARIMAX calor + prevención t-1,2022,56.345458824357834,fit,,
ARIMAX calor + prevención t-1,2023,25.704736605792473,fit,,
ARIMAX calor + prevención t-1,2024,23.845077774975223,forecast,9.404067264008766,58.330440103933476
ARIMAX calor + prevención t-1,2025,46.67292100451041,forecast,19.223460429747902,111.37974851026125
