family,spec,order,year,observed,predicted
ARIMA,endogenous,"(0, 0, 1)",2014,7.0,17.221403266936175
ARIMA,endogenous,"(0, 0, 1)",2015,16.0,25.630489239155395
ARIMA,endogenous,"(0, 0, 1)",2016,22.0,23.862976547318453
ARIMA,endogenous,"(0, 0, 1)",2017,56.0,18.47512223938861
ARIMA,endogenous,"(0, 0, 1)",2018,3.0,8.026166384874177
ARIMA,endogenous,"(0, 0, 1)",2019,15.0,32.81003669514085
ARIMA,endogenous,"(0, 0, 1)",2020,19.0,30.974041771010917
ARIMA,endogenous,"(0, 0, 1)",2021,18.0,24.873128094191745
ARIMA,endogenous,"(0, 0, 1)",2022,56.0,21.8508745855758
ARIMA,endogenous,"(0, 0, 1)",2023,19.0,7.949612256216687
ARIMA,endogenous,"(0, 0, 2)",2014,7.0,16.175347063186443
ARIMA,endogenous,"(0, 0, 2)",2015,16.0,29.273444054307156
ARIMA,endogenous,"(0, 0, 2)",2016,22.0,23.380217724072182
ARIMA,endogenous,"(0, 0, 2)",2017,56.0,19.34192035843534
ARIMA,endogenous,"(0, 0, 2)",2018,3.0,10.627765800332552
ARIMA,endogenous,"(0, 0, 2)",2019,15.0,57.30671551103936
ARIMA,endogenous,"(0, 0, 2)",2020,19.0,29.437775895868196
ARIMA,endogenous,"(0, 0, 2)",2021,18.0,23.654118262615064
ARIMA,endogenous,"(0, 0, 2)",2022,56.0,21.09159622955698
ARIMA,endogenous,"(0, 0, 2)",2023,19.0,9.782117336695686
ARIMA,endogenous,"(0, 0, 3)",2014,7.0,20.134375958693568
ARIMA,endogenous,"(0, 0, 3)",2015,16.0,38.89508343548688
ARIMA,endogenous,"(0, 0, 3)",2016,22.0,0.0
ARIMA,endogenous,"(0, 0, 3)",2017,56.0,0.0
ARIMA,endogenous,"(0, 0, 3)",2018,3.0,18.92222509564956
ARIMA,endogenous,"(0, 0, 3)",2019,15.0,42.77578690685792
ARIMA,endogenous,"(0, 0, 3)",2020,19.0,59.12920603599463
ARIMA,endogenous,"(0, 0, 3)",2021,18.0,25.12460278194217
ARIMA,endogenous,"(0, 0, 3)",2022,56.0,22.598222161221436
ARIMA,endogenous,"(0, 0, 3)",2023,19.0,11.093641421042145
ARIMA,endogenous,"(1, 0, 0)",2014,7.0,21.503088307019976
ARIMA,endogenous,"(1, 0, 0)",2015,16.0,18.079405165229645
ARIMA,endogenous,"(1, 0, 0)",2016,22.0,18.242415867759636
ARIMA,endogenous,"(1, 0, 0)",2017,56.0,18.88028252947693
ARIMA,endogenous,"(1, 0, 0)",2018,3.0,22.022123725370136
ARIMA,endogenous,"(1, 0, 0)",2019,15.0,25.823389806770567
ARIMA,endogenous,"(1, 0, 0)",2020,19.0,18.230285328075333
ARIMA,endogenous,"(1, 0, 0)",2021,18.0,17.842219635664552
ARIMA,endogenous,"(1, 0, 0)",2022,56.0,17.95293696314001
ARIMA,endogenous,"(1, 0, 0)",2023,19.0,16.92467555027312
ARIMA,endogenous,"(1, 0, 1)",2014,7.0,18.18522375279755
ARIMA,endogenous,"(1, 0, 1)",2015,16.0,20.436957575729103
ARIMA,endogenous,"(1, 0, 1)",2016,22.0,16.66163627588022
ARIMA,endogenous,"(1, 0, 1)",2017,56.0,16.51548530757667
ARIMA,endogenous,"(1, 0, 1)",2018,3.0,16.321069465841752
ARIMA,endogenous,"(1, 0, 1)",2019,15.0,40.792428990876104
ARIMA,endogenous,"(1, 0, 1)",2020,19.0,32.51511902599501
ARIMA,endogenous,"(1, 0, 1)",2021,18.0,24.50730489307072
ARIMA,endogenous,"(1, 0, 1)",2022,56.0,16.463175155767715
ARIMA,endogenous,"(1, 0, 1)",2023,19.0,13.755330380126493
ARIMA,endogenous,"(1, 0, 2)",2014,7.0,15.277960422444236
ARIMA,endogenous,"(1, 0, 2)",2015,16.0,47.65294485824432
ARIMA,endogenous,"(1, 0, 2)",2016,22.0,24.451700018352778
ARIMA,endogenous,"(1, 0, 2)",2017,56.0,16.415003058358234
ARIMA,endogenous,"(1, 0, 2)",2018,3.0,10.870241674404422
ARIMA,endogenous,"(1, 0, 2)",2019,15.0,55.342570861291776
ARIMA,endogenous,"(1, 0, 2)",2020,19.0,32.70673261682383
ARIMA,endogenous,"(1, 0, 2)",2021,18.0,22.79339542284062
ARIMA,endogenous,"(1, 0, 2)",2022,56.0,21.809433360699426
ARIMA,endogenous,"(1, 0, 2)",2023,19.0,9.317778776577596
ARIMA,endogenous,"(1, 0, 3)",2014,7.0,18.038585444339972
ARIMA,endogenous,"(1, 0, 3)",2015,16.0,42.80167292234674
ARIMA,endogenous,"(1, 0, 3)",2016,22.0,28.255379515392754
ARIMA,endogenous,"(1, 0, 3)",2017,56.0,18.307345146661685
ARIMA,endogenous,"(1, 0, 3)",2018,3.0,28.50427429172772
ARIMA,endogenous,"(1, 0, 3)",2019,15.0,47.08216110967731
ARIMA,endogenous,"(1, 0, 3)",2020,19.0,59.30708987367259
ARIMA,endogenous,"(1, 0, 3)",2021,18.0,27.697683989485835
ARIMA,endogenous,"(1, 0, 3)",2022,56.0,21.25951586111491
ARIMA,endogenous,"(1, 0, 3)",2023,19.0,9.931568749202796
ARIMA,endogenous,"(2, 0, 0)",2014,7.0,16.072285336764782
ARIMA,endogenous,"(2, 0, 0)",2015,16.0,24.028539549495484
ARIMA,endogenous,"(2, 0, 0)",2016,22.0,25.91977176207825
ARIMA,endogenous,"(2, 0, 0)",2017,56.0,17.87013869494377
ARIMA,endogenous,"(2, 0, 0)",2018,3.0,16.054698986623926
ARIMA,endogenous,"(2, 0, 0)",2019,15.0,20.514392115388926
ARIMA,endogenous,"(2, 0, 0)",2020,19.0,38.00577006118787
ARIMA,endogenous,"(2, 0, 0)",2021,18.0,17.379775612008622
ARIMA,endogenous,"(2, 0, 0)",2022,56.0,16.43007980909557
ARIMA,endogenous,"(2, 0, 0)",2023,19.0,12.957975079533727
ARIMA,endogenous,"(2, 0, 1)",2014,7.0,9.915551371439662
ARIMA,endogenous,"(2, 0, 1)",2015,16.0,23.773886951823144
ARIMA,endogenous,"(2, 0, 1)",2016,22.0,37.90904506088147
ARIMA,endogenous,"(2, 0, 1)",2017,56.0,26.73178785748622
ARIMA,endogenous,"(2, 0, 1)",2018,3.0,12.509354673985834
ARIMA,endogenous,"(2, 0, 1)",2019,15.0,27.867956226881972
ARIMA,endogenous,"(2, 0, 1)",2020,19.0,56.58879702905
ARIMA,endogenous,"(2, 0, 1)",2021,18.0,17.383167950194043
ARIMA,endogenous,"(2, 0, 1)",2022,56.0,25.89460139538539
ARIMA,endogenous,"(2, 0, 1)",2023,19.0,10.982531901326864
ARIMA,endogenous,"(2, 0, 2)",2014,7.0,21.622639345618296
ARIMA,endogenous,"(2, 0, 2)",2015,16.0,24.6434260415768
ARIMA,endogenous,"(2, 0, 2)",2016,22.0,281.03531414179554
ARIMA,endogenous,"(2, 0, 2)",2017,56.0,19.36218131904881
ARIMA,endogenous,"(2, 0, 2)",2018,3.0,25.435317470875955
ARIMA,endogenous,"(2, 0, 2)",2019,15.0,32.97640359509808
ARIMA,endogenous,"(2, 0, 2)",2020,19.0,64.17192720197835
ARIMA,endogenous,"(2, 0, 2)",2021,18.0,36.70788537956871
ARIMA,endogenous,"(2, 0, 2)",2022,56.0,24.583621708586577
ARIMA,endogenous,"(2, 0, 2)",2023,19.0,10.657442717527022
ARIMA,endogenous,"(2, 0, 3)",2015,16.0,16.664688522648177
ARIMA,endogenous,"(2, 0, 3)",2016,22.0,30.20373593340729
ARIMA,endogenous,"(2, 0, 3)",2017,56.0,17.65075673184342
ARIMA,endogenous,"(2, 0, 3)",2018,3.0,13.025535927804219
ARIMA,endogenous,"(2, 0, 3)",2019,15.0,34.15705619233503
ARIMA,endogenous,"(2, 0, 3)",2020,19.0,68.2446935486384
ARIMA,endogenous,"(2, 0, 3)",2021,18.0,24.292742667201235
ARIMA,endogenous,"(2, 0, 3)",2022,56.0,16.75076779373003
ARIMA,endogenous,"(2, 0, 3)",2023,19.0,8.207336276939643
ARIMA,endogenous,"(3, 0, 0)",2014,7.0,13.002470861330119
ARIMA,endogenous,"(3, 0, 0)",2015,16.0,29.98694088517679
ARIMA,endogenous,"(3, 0, 0)",2016,22.0,31.897263817151078
ARIMA,endogenous,"(3, 0, 0)",2017,56.0,19.561065521374896
ARIMA,endogenous,"(3, 0, 0)",2018,3.0,10.630543383958358
ARIMA,endogenous,"(3, 0, 0)",2019,15.0,30.701264891883373
ARIMA,endogenous,"(3, 0, 0)",2020,19.0,34.70106349050356
ARIMA,endogenous,"(3, 0, 0)",2021,18.0,38.0383851501399
ARIMA,endogenous,"(3, 0, 0)",2022,56.0,16.383912660631392
ARIMA,endogenous,"(3, 0, 0)",2023,19.0,8.80292132243494
ARIMA,endogenous,"(3, 0, 1)",2014,7.0,15.508784894792905
ARIMA,endogenous,"(3, 0, 1)",2015,16.0,23.479297266151008
ARIMA,endogenous,"(3, 0, 1)",2016,22.0,40.233322346248485
ARIMA,endogenous,"(3, 0, 1)",2017,56.0,16.60522232515973
ARIMA,endogenous,"(3, 0, 1)",2018,3.0,12.047337495407342
ARIMA,endogenous,"(3, 0, 1)",2019,15.0,44.3811540498391
ARIMA,endogenous,"(3, 0, 1)",2020,19.0,61.262752387141084
ARIMA,endogenous,"(3, 0, 1)",2021,18.0,43.5134189579907
ARIMA,endogenous,"(3, 0, 1)",2022,56.0,20.602870571409888
ARIMA,endogenous,"(3, 0, 1)",2023,19.0,11.256239301483921
ARIMA,endogenous,"(3, 0, 2)",2015,16.0,23.266561145575146
ARIMA,endogenous,"(3, 0, 2)",2016,22.0,40.09769080604265
ARIMA,endogenous,"(3, 0, 2)",2017,56.0,27.847562355653267
ARIMA,endogenous,"(3, 0, 2)",2018,3.0,11.436091128702712
