family,spec,order,year,observed,predicted
ARIMAX,heat_days,"(0, 0, 0)",2014,7.0,12.10704498426605
ARIMAX,heat_days,"(0, 0, 0)",2015,16.0,259.97748619297516
ARIMAX,heat_days,"(0, 0, 0)",2016,22.0,22.183954733602146
ARIMAX,heat_days,"(0, 0, 0)",2017,56.0,28.039533155678583
ARIMAX,heat_days,"(0, 0, 0)",2018,3.0,19.58198725387871
ARIMAX,heat_days,"(0, 0, 0)",2019,15.0,23.836053450870157
ARIMAX,heat_days,"(0, 0, 0)",2020,19.0,23.351329721466673
ARIMAX,heat_days,"(0, 0, 0)",2021,18.0,17.004660235321715
ARIMAX,heat_days,"(0, 0, 0)",2022,56.0,47.60474497432042
ARIMAX,heat_days,"(0, 0, 0)",2023,19.0,28.794685919639566
ARIMAX,heat_days,"(1, 0, 0)",2014,7.0,12.096266253263456
ARIMAX,heat_days,"(1, 0, 0)",2015,16.0,255.39243940666478
ARIMAX,heat_days,"(1, 0, 0)",2016,22.0,19.14173938503808
ARIMAX,heat_days,"(1, 0, 0)",2017,56.0,29.99229781880427
ARIMAX,heat_days,"(1, 0, 0)",2018,3.0,20.931580592965602
ARIMAX,heat_days,"(1, 0, 0)",2019,15.0,19.88173900359534
ARIMAX,heat_days,"(1, 0, 0)",2020,19.0,22.787075794590738
ARIMAX,heat_days,"(1, 0, 0)",2021,18.0,15.430376895467479
ARIMAX,heat_days,"(1, 0, 0)",2022,56.0,67.19141487993646
ARIMAX,heat_days,"(1, 0, 0)",2023,19.0,30.025944121181105
ARIMAX,heat_days,"(0, 1, 1)",2014,7.0,7.82746327803293
ARIMAX,heat_days,"(0, 1, 1)",2015,16.0,142.14932019584705
ARIMAX,heat_days,"(0, 1, 1)",2016,22.0,9.88532195764201
ARIMAX,heat_days,"(0, 1, 1)",2017,56.0,18.316276256829607
ARIMAX,heat_days,"(0, 1, 1)",2018,3.0,10.739104950490894
ARIMAX,heat_days,"(0, 1, 1)",2019,15.0,8.274402929064118
ARIMAX,heat_days,"(0, 1, 1)",2020,19.0,8.637007108787127
ARIMAX,heat_days,"(0, 1, 1)",2021,18.0,4.924739073852659
ARIMAX,heat_days,"(0, 1, 1)",2022,56.0,38.21523977855868
ARIMAX,heat_days,"(0, 1, 1)",2023,19.0,16.061158257503703
ARIMAX,heat_events,"(0, 0, 0)",2014,7.0,9.902483764866721
ARIMAX,heat_events,"(0, 0, 0)",2015,16.0,29.782005689342164
ARIMAX,heat_events,"(0, 0, 0)",2016,22.0,77.45626725491813
ARIMAX,heat_events,"(0, 0, 0)",2017,56.0,56.97168776429886
ARIMAX,heat_events,"(0, 0, 0)",2018,3.0,15.718541127976804
ARIMAX,heat_events,"(0, 0, 0)",2019,15.0,28.244032581514034
ARIMAX,heat_events,"(0, 0, 0)",2020,19.0,26.226064792016583
ARIMAX,heat_events,"(0, 0, 0)",2021,18.0,18.241192450306905
ARIMAX,heat_events,"(0, 0, 0)",2022,56.0,25.32881768658982
