backend,model_id,year,observed,predicted_mean,predicted_median,pi90_low,pi90_high,covered_90,crps,abs_error
NB2-feedback,NB-AR1,2014,7.0,29.176083333333334,24.0,5.0,70.0,True,11.512369743055556,22.176083333333334
NB2-feedback,NB-AR1,2015,16.0,25.383916666666668,20.0,3.0,66.0,True,4.4070261041666665,9.383916666666668
NB2-feedback,NB-AR1,2016,22.0,24.92716666666667,21.0,4.0,60.0,True,3.736783402777778,2.9271666666666682
NB2-feedback,NB-AR1,2017,56.0,24.9095,21.0,4.0,58.0,True,23.79781225,31.0905
NB2-feedback,NB-AR1,2018,3.0,36.376666666666665,28.0,5.0,97.0,False,17.978632277777777,33.376666666666665
NB2-feedback,NB-AR1,2019,15.0,29.937083333333334,23.0,3.0,81.04999999999927,True,6.278279229166667,14.937083333333334
NB2-feedback,NB-AR1,2020,19.0,26.04325,21.0,3.0,67.0,True,4.259151770833334,7.0432500000000005
NB2-feedback,NB-AR1,2021,18.0,24.9565,21.0,3.0,61.0,True,4.052253916666668,6.956499999999998
NB2-feedback,NB-AR1,2022,56.0,24.734,21.0,4.0,60.0,True,23.877191499999995,31.266
NB2-feedback,NB-AR1,2023,19.0,26.892083333333332,20.0,3.0,72.0,True,4.3973723125,7.892083333333332
NB2-feedback,NB-AR1+HE,2014,7.0,12.245833333333334,11.0,3.0,28.0,True,2.4222978333333334,5.245833333333334
NB2-feedback,NB-AR1+HE,2015,16.0,36.60825,33.0,12.0,72.0,True,11.261368104166667,20.608249999999998
NB2-feedback,NB-AR1+HE,2016,22.0,116.71725,95.0,26.0,280.0499999999993,False,51.94268847916667,94.71725
NB2-feedback,NB-AR1+HE,2017,56.0,92.84316666666666,70.0,15.0,245.0,True,15.472629763888882,36.84316666666666
NB2-feedback,NB-AR1+HE,2018,3.0,18.578833333333332,16.0,5.0,40.0,False,9.653220861111112,15.578833333333332
NB2-feedback,NB-AR1+HE,2019,15.0,31.044833333333333,26.0,6.0,72.0,True,7.356774750000001,16.044833333333333
NB2-feedback,NB-AR1+HE,2020,19.0,30.402,26.0,6.0,69.0,True,5.4034189999999995,11.402000000000001
NB2-feedback,NB-AR1+HE,2021,18.0,21.014916666666668,18.0,5.0,46.0,True,2.825512243055556,3.014916666666668
NB2-feedback,NB-AR1+HE,2022,56.0,31.361333333333334,28.0,8.0,67.0,True,17.78097386111111,24.638666666666666
NB2-feedback,NB-AR1+HE,2023,19.0,71.37833333333333,59.0,16.0,170.04999999999927,True,27.019571375,52.37833333333333
NB2-feedback,NB-AR1+P2,2014,7.0,18.87475,17.0,5.0,40.0,True,6.4349211180555566,11.874749999999999
NB2-feedback,NB-AR1+P2,2015,16.0,21.42325,17.0,3.0,55.0,True,3.2250829097222216,5.4232499999999995
NB2-feedback,NB-AR1+P2,2016,22.0,13.960416666666667,12.0,3.0,32.0,True,5.88560832638889,8.039583333333333
NB2-feedback,NB-AR1+P2,2017,56.0,13.76825,12.0,3.0,31.0,False,37.43311113194444,42.23175
NB2-feedback,NB-AR1+P2,2018,3.0,22.862333333333332,16.0,2.0,66.0,True,9.120550444444444,19.862333333333332
NB2-feedback,NB-AR1+P2,2019,15.0,32.10158333333333,26.0,5.0,80.0,True,7.4342007430555554,17.10158333333333
NB2-feedback,NB-AR1+P2,2020,19.0,25.767,21.0,4.0,63.0,True,3.981658444444445,6.7669999999999995
NB2-feedback,NB-AR1+P2,2021,18.0,21.93725,19.0,4.0,51.0,True,3.187518409722223,3.937249999999999
NB2-feedback,NB-AR1+P2,2022,56.0,21.396083333333333,18.0,4.0,48.0,False,27.715446659722225,34.60391666666666
NB2-feedback,NB-AR1+P2,2023,19.0,12.688083333333333,9.0,1.0,36.0,True,5.6813119375,6.311916666666667
NB2-feedback,NB-AR1+I2,2014,7.0,12.80125,11.0,3.0,27.0,True,2.7882196875,5.80125
NB2-feedback,NB-AR1+I2,2015,16.0,20.989833333333333,18.0,6.0,45.0,True,2.7652374166666673,4.989833333333333
NB2-feedback,NB-AR1+I2,2016,22.0,11.091,10.0,3.0,23.0,True,8.111001013888888,10.909
NB2-feedback,NB-AR1+I2,2017,56.0,12.2395,11.0,3.0,27.0,False,39.61715534722222,43.7605
NB2-feedback,NB-AR1+I2,2018,3.0,24.5005,14.0,2.0,80.0,True,8.329981083333333,21.5005
NB2-feedback,NB-AR1+I2,2019,15.0,28.91125,23.0,4.0,74.0,True,5.910820895833332,13.911249999999999
NB2-feedback,NB-AR1+I2,2020,19.0,23.260583333333333,19.0,4.0,56.0,True,3.512707145833332,4.260583333333333
NB2-feedback,NB-AR1+I2,2021,18.0,20.295,17.0,4.0,47.0,True,2.9193113055555555,2.2950000000000017
NB2-feedback,NB-AR1+I2,2022,56.0,20.579416666666667,18.0,4.0,46.0,False,28.776223881944446,35.42058333333333
NB2-feedback,NB-AR1+I2,2023,19.0,12.1225,9.0,1.0,36.0,True,5.96332475,6.8774999999999995
NB2-feedback,NB-AR1+HE+P2,2014,7.0,12.313583333333334,12.0,6.0,19.049999999999272,True,3.281858701388889,5.313583333333334
NB2-feedback,NB-AR1+HE+P2,2015,16.0,24.71216666666667,24.0,14.0,37.0,True,5.2646927777777766,8.712166666666668
NB2-feedback,NB-AR1+HE+P2,2016,22.0,32.14691666666667,31.0,18.0,50.0,True,5.6881063958333336,10.14691666666667
NB2-feedback,NB-AR1+HE+P2,2017,56.0,33.0625,31.0,16.0,55.0,False,17.181398458333334,22.9375
NB2-feedback,NB-AR1+HE+P2,2018,3.0,8.777916666666666,9.0,4.0,15.0,False,3.875723923611112,5.777916666666666
NB2-feedback,NB-AR1+HE+P2,2019,15.0,46.67966666666667,45.0,27.0,70.0,False,24.14361675,31.67966666666667
NB2-feedback,NB-AR1+HE+P2,2020,19.0,38.79991666666667,37.0,17.0,67.0,True,11.875119520833334,19.799916666666668
NB2-feedback,NB-AR1+HE+P2,2021,18.0,21.578416666666666,20.0,9.0,38.0,True,2.2363205486111113,3.5784166666666657
NB2-feedback,NB-AR1+HE+P2,2022,56.0,26.522333333333332,26.0,13.0,44.0,False,24.272851875,29.477666666666668
NB2-feedback,NB-AR1+HE+P2,2023,19.0,25.62175,21.0,6.0,59.0,True,3.6178132152777778,6.621749999999999
NB2-feedback,NB-AR1+HE+I2,2014,7.0,11.992333333333333,11.0,4.0,23.0,True,2.547679388888889,4.992333333333333
NB2-feedback,NB-AR1+HE+I2,2015,16.0,22.09625,20.0,7.0,46.0,True,3.0673291180555546,6.096250000000001
NB2-feedback,NB-AR1+HE+I2,2016,22.0,20.518166666666666,17.0,4.0,49.0,True,3.594062361111111,1.4818333333333342
NB2-feedback,NB-AR1+HE+I2,2017,56.0,28.064166666666665,26.0,11.0,51.0,False,21.99235473611111,27.935833333333335
NB2-feedback,NB-AR1+HE+I2,2018,3.0,8.8405,8.0,3.0,16.0,True,3.6461657499999998,5.8405000000000005
NB2-feedback,NB-AR1+HE+I2,2019,15.0,37.191583333333334,35.0,17.0,64.0,False,14.415770145833331,22.191583333333334
NB2-feedback,NB-AR1+HE+I2,2020,19.0,28.503,27.0,12.0,50.0,True,4.964692249999999,9.503
NB2-feedback,NB-AR1+HE+I2,2021,18.0,19.165,18.0,8.0,33.0,True,1.6898858611111107,1.1649999999999991
NB2-feedback,NB-AR1+HE+I2,2022,56.0,23.52125,23.0,11.0,39.0,False,27.641265659722222,32.478750000000005
NB2-feedback,NB-AR1+HE+I2,2023,19.0,22.1245,18.0,5.0,52.0,True,3.0077886527777773,3.124500000000001
NB2-feedback,NB-AR1+HD+P2,2014,7.0,13.18775,13.0,7.0,20.0,True,4.005966687500001,6.187749999999999
NB2-feedback,NB-AR1+HD+P2,2015,16.0,147.50225,136.0,68.0,264.0,False,98.31069247916668,131.50225
NB2-feedback,NB-AR1+HD+P2,2016,22.0,19.419083333333333,17.0,5.0,42.0,True,3.325254770833334,2.580916666666667
NB2-feedback,NB-AR1+HD+P2,2017,56.0,19.21175,17.0,5.0,41.0,False,30.953907173611114,36.788250000000005
NB2-feedback,NB-AR1+HD+P2,2018,3.0,12.941666666666666,11.0,3.0,30.0,True,5.453558402777777,9.941666666666666
NB2-feedback,NB-AR1+HD+P2,2019,15.0,39.389,35.0,10.0,84.0,True,12.671491263888889,24.389000000000003
NB2-feedback,NB-AR1+HD+P2,2020,19.0,34.10791666666667,30.0,9.0,73.0,True,7.091364493055556,15.107916666666668
NB2-feedback,NB-AR1+HD+P2,2021,18.0,18.1935,16.0,4.0,39.0,True,2.434182180555556,0.19350000000000023
NB2-feedback,NB-AR1+HD+P2,2022,56.0,112.18391666666666,85.0,22.0,294.0,True,22.263281826388884,56.18391666666666
NB2-feedback,NB-AR1+HD+P2,2023,19.0,29.345333333333333,27.0,9.0,58.0,True,5.084370694444445,10.345333333333333
