backend,model_id,year,observed,predicted_mean,predicted_median,pi90_low,pi90_high,covered_90,crps,abs_error
NB2-feedback,NB-AR1,2024,16.0,26.335166666666666,22.0,4.0,63.0,True,4.876736791666666,10.335166666666666
NB2-feedback,NB-AR1,2025,63.0,26.251833333333334,22.0,4.0,63.0,True,28.443869624999998,36.74816666666666
NB2-feedback,NB-AR1+HE,2024,16.0,29.052416666666666,25.0,6.0,65.0,True,6.078974784722222,13.052416666666666
NB2-feedback,NB-AR1+HE,2025,63.0,28.94325,25.0,6.0,65.0,True,26.018321881944445,34.05675
NB2-feedback,NB-AR1+P2,2024,16.0,20.572583333333334,18.0,3.0,48.0,True,3.0537556458333333,4.572583333333334
NB2-feedback,NB-AR1+P2,2025,63.0,20.396833333333333,17.0,3.0,47.0,False,35.485150875,42.60316666666667
NB2-feedback,NB-AR1+I2,2024,16.0,20.9665,18.0,4.0,48.04999999999927,True,3.1636865000000007,4.9665
NB2-feedback,NB-AR1+I2,2025,63.0,18.71075,16.0,3.0,44.0,False,37.55773778472222,44.289249999999996
NB2-feedback,NB-AR1+HE+P2,2024,16.0,22.908333333333335,22.0,9.0,41.0,True,3.581429083333334,6.908333333333335
NB2-feedback,NB-AR1+HE+P2,2025,63.0,23.558333333333334,22.0,9.0,42.0,False,33.920800597222225,39.44166666666666
NB2-feedback,NB-AR1+HE+I2,2024,16.0,32.10625,30.0,13.0,58.0,True,9.219696409722225,16.106250000000003
NB2-feedback,NB-AR1+HE+I2,2025,63.0,21.138916666666667,20.0,8.0,39.0,False,36.60323502083334,41.86108333333333
NB2-feedback,NB-AR1+HD+P2,2024,16.0,27.932333333333332,25.0,9.0,56.0,True,5.953561513888888,11.932333333333332
NB2-feedback,NB-AR1+HD+P2,2025,63.0,46.75783333333333,42.0,14.0,95.0,True,11.983259944444443,16.24216666666667
